file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,148,css,4e4c9793,Jiya Makhija,2025-04-10,19:10:42,-07:00,2025-04-10T19:10:42-07:00,0,16
style.css,149,css,4e4c9793,Jiya Makhija,2025-04-10,19:10:42,-07:00,2025-04-10T19:10:42-07:00,0,18
style.css,150,css,4e4c9793,Jiya Makhija,2025-04-10,19:10:42,-07:00,2025-04-10T19:10:42-07:00,0,0
style.css,151,css,c11d62d3,Jiya Makhija,2025-04-11,12:23:02,-07:00,2025-04-11T12:23:02-07:00,0,0
style.css,152,css,c11d62d3,Jiya Makhija,2025-04-11,12:23:02,-07:00,2025-04-11T12:23:02-07:00,0,0
style.css,153,css,c11d62d3,Jiya Makhija,2025-04-11,12:23:02,-07:00,2025-04-11T12:23:02-07:00,0,12
style.css,154,css,c11d62d3,Jiya Makhija,2025-04-11,12:23:02,-07:00,2025-04-11T12:23:02-07:00,0,13
style.css,155,css,c11d62d3,Jiya Makhija,2025-04-11,12:23:02,-07:00,2025-04-11T12:23:02-07:00,0,30
style.css,156,css,c11d62d3,Jiya Makhija,2025-04-11,12:23:02,-07:00,2025-04-11T12:23:02-07:00,0,21
style.css,157,css,c11d62d3,Jiya Makhija,2025-04-11,12:23:02,-07:00,2025-04-11T12:23:02-07:00,0,15
style.css,158,css,e9289a3e,Jiya Makhija,2025-04-11,20:09:13,-07:00,2025-04-11T20:09:13-07:00,0,8
style.css,159,css,e9289a3e,Jiya Makhija,2025-04-11,20:09:13,-07:00,2025-04-11T20:09:13-07:00,0,0
style.css,160,css,e9289a3e,Jiya Makhija,2025-04-11,20:09:13,-07:00,2025-04-11T20:09:13-07:00,0,8
style.css,161,css,e9289a3e,Jiya Makhija,2025-04-11,20:09:13,-07:00,2025-04-11T20:09:13-07:00,0,18
style.css,162,css,e9289a3e,Jiya Makhija,2025-04-11,20:09:13,-07:00,2025-04-11T20:09:13-07:00,0,0
style.css,163,css,e9289a3e,Jiya Makhija,2025-04-11,20:09:13,-07:00,2025-04-11T20:09:13-07:00,0,0
